,title,startYear,runtimeMinutes,genres,actor_or_actress,director,producer,averageRating,numVotes,adult,backdrop_path,original_language,overview,poster_path,production_countries,release_date,production_companies_name
2679,Dharmaveer,2022,176.0,"Biography,Crime,Drama","Makarand Date (\N, \N), Snehal Tarde (\N, \N)","Pravin Tarde (1974, \N)","Mangesh Desai (1972, \N)",7.9,2208,False,/o9QBMAKfRv0Erl38T6vaYlobiPw.jpg,mr,"A biopic on life of a Hindu nationalist leader Anand Dighe, through various incidents narrated by his close aides.",/x5kqbaZflZRJ7Jg8XZxzUAKyq9t.jpg,['IN'],2022-05-13,['Zee Studios']
2680,Beyond the Myth: A Film About Pit Bulls and Breed Discrimination,2010,92.0,Documentary,,"Libby Sherrill (\N, \N)","Libby Sherrill (\N, \N)",8.0,248,False,,en,"Beyond the Myth is a film about dogs commonly referred to as ""pit bulls"" and those who love and defend these breeds. It explores the contributing factors behind the public's generalized fear of ""pit bulls,"" and examines the conflict existing between advocates and opponents of breed discriminatory laws, as carried out in three cities that ban pit bull-type dogs: Denver, Miami, and Cincinnati-along with San Francisco, which requires the animals to be spayed and neutered. Written by Libby Sherrill",/xdYuvblFPWGwVVLpPGA00D06skp.jpg,['US'],2010-06-12,[]
2681,"Blood, Sweat + Vinyl: DIY in the 21st Century",2011,92.0,"Biography,Documentary,Music",,"Kenneth Thomas (\N, \N)","Kenneth Thomas (\N, \N)",7.9,128,False,,en,"This captivating documentary is the product of five years of obsessive filming of live concert footage, exclusive interviews, and historic documentation focusing on three fiercely independent music labels and their bands.  Featuring Neurosis, ISIS, Godspeed You! Black Emperor, Pelican, Oxbow, Evangelista, Thee Silver Mt. Zion Memorial Orchestra, Cave In, and many others whose music and art found ideal homes in the artist-run record labels of Hydra Head, Neurot, and Constellation.  These labels combine hard-to-define, heavy music with a visual aesthetic that has enraptured worldwide fans, without the need for radio or corporate media outlets. They uphold the legacy of treating music as an art form, not as a product.  This film is an answer to those who question where the spirit of punk rock is today.",/yVhXYhvoSBvbi7OUzRvUetexwUS.jpg,['US'],2011-10-08,[]
2682,Innocent Blood,2013,100.0,"Crime,Drama,Mystery",,"Sun W. Kim (\N, \N), D.J. Holloway (\N, \N)","James Jeffery Caldwell (\N, \N)",8.0,102,False,,en,"Sun W. Kim and D.J. Holloway, behind several award winning short films, makes their feature film debut with Innocent Blood. The suspense thriller tells the story of James Park, a retired detective turned college professor, who is forced to face his dark past in order to find his son Cody’s kidnapper. James Park, played by Jun-Seong Kim (Late Autumn, West 32nd), a well decorated, officer is exposed for who he really is by his son’s mysterious kidnapper. With a handful of past enemies, simultaneous murders, a wife who’s losing faith in him, and two detectives in hot pursuit, James must move fast to bring his son home safely.",/vUrvRiIdZ9lMLnj8DEw4Rl2X23f.jpg,[],2013-11-09,[]
2683,NightLights,2014,97.0,Drama,,"David Midell (\N, \N)",,7.9,109,False,,en,"Erin Logan has lived with and cared for her non-verbal brother with autism, Jacob, for seven years since the death of their mother. After she stumbles into a chance for love and friendship, she is forced to confront whether she can continue to care for her brother and have a chance at her own dreams at the same time. Director David Midell, an autism therapist, takes care to portray the lives of families with autism with authenticity, dignity, and love in this heartwarming story.",/lgKUoTrNZT7SmFtS0FREBDSrA0D.jpg,[],2014-01-01,[]
2684,Die andere Heimat: Chronik einer Sehnsucht,2013,231.0,"Drama,History","Philine Lembeck (\N, \N), Maximilian Scheidt (\N, \N), Jan Dieter Schneider (1990, \N), Rüdiger Kriese (\N, \N), Reinhard Paulus (\N, \N)","Edgar Reitz (1932, \N)",,7.9,1587,False,/1Y3pnuqQXEyYtLq9FP8tROOQBDa.jpg,de,"Follow-up to the TV trilogy “Heimat”, this time for cinemas, set again in the fictional village Schabbach in the Hunsrück region of Rhineland-Palatinate.",/aIgtT1WQaLnFmhEZGtfotYv9YY0.jpg,"['DE', 'FR']",2013-10-03,"['Edgar Reitz Film (ERF)', 'Les Films du Losange']"
2685,Tom Meets Zizou: Kein Sommermärchen,2011,136.0,"Biography,Documentary,Sport",,"Aljoscha Pause (1972, \N)","Hans-Peter Klein (\N, \N)",7.8,656,False,/4T4mggfWQgsKY3Bq7E3SkGIncDv.jpg,de,,/20DrWqGrjB0Ww8bAoBnX2XlKTXg.jpg,['DE'],2011-07-28,['Pausefilm']
2686,Mission Blue,2014,95.0,"Documentary,Drama",,"Fisher Stevens (1963, \N), Robert Nixon (\N, \N)","Peter R. Livingston Jr. (\N, \N)",7.9,2204,False,/gkp83BnUbnXoZpIW5e6u9P6wFzd.jpg,en,"Feature documentary about legendary oceanographer, marine biologist, environmentalist and National Geographic Explorer-in-Residence Sylvia Earle, and her campaign to create a global network of protected marine sanctuaries",/ezTUE6fWKG0iBfYC73rlXreAXao.jpg,['US'],2014-01-30,"['True Blue Films', 'Insurgent Docs']"
2687,Kusume Rumal,1985,125.0,"Drama,Musical,Romance","Tripti Nadakar (1969, \N)","Tulsi Ghimire (1951, \N)","Sumitra Paudel (\N, \N)",7.9,151,False,,ne,"The story revolves around three boys: Amar, Arjun and Rakesh who fall for the same girl, Suniti. We are introduced to Amar who is a well natured and cultured boy, with whom Suniti naturally falls in love with. While everything seems right in their relationship, a poor village worker, Arjun, mistakes the good behavior of Suniti and her father with their affection for him, and starts fantasizing a romantic relationship with Suniti. Rakesh however, tries to bring Amar down by tricking Suniti into marrying him by force.",,[],1985-02-17,[]
2688,The Clock,2010,1440.0,Drama,,"Christian Marclay (\N, \N)",,8.9,396,False,/nWEzHSonj42mYJAydvVD4I843ez.jpg,en,"A 24-hour compendium of time-themed film clips, all synched to the time that appears on the clocks and watches within.",/p6JV3cXYytm04CQ7RB4piMKZGR1.jpg,['GB'],2010-10-15,[]
2689,Sigur Rós: Inni,2011,74.0,"Documentary,Music",,"Vincent Morisset (\N, \N)",,7.8,723,False,/zupWeUdA6Zu94zSvIPOJ6TMbsaU.jpg,en,"Inni is a live motion picture and album by Icelandic band Sigur Rós released in 2011.The concert footage was directed by Vincent Morisset and filmed at the Alexandra Palace in 2008. It was released on 7 November 2011 on various formats, including vinyl, DVD, Blu-ray and CD. Theatrical versions are also being shown around the world from late 2011.  The songs played within are Ný batterí, Svefn-g-englar, Fljótavík, Inní mér syngur vitleysingur, Sæglópur, Festival, E-Bow, Popplagið and Lúppulagið. The bonus material contains All Allright, Glósóli, Hafsól and Við spilum endalaust.",/eDT73xa0sdMZtsqOtAnAbJLUfyr.jpg,"['CA', 'IS', 'GB']",2011-11-07,[]
2690,The Prodigy: World's on Fire,2011,69.0,Documentary,,"Paul Dugdale (\N, \N)","Cordelia Plunket (\N, \N)",8.2,180,False,/A1zCfYNZvV2EIqIi7C2DXYDmauX.jpg,en,"Recorded before 65,000 fans, World’s On Fire is the debut live film documenting The Prodigy’s Warrior's Dance festival from The National Bowl at Milton Keynes on July 24th, 2010.",/1U39HCcXLeDLoidjuf04yKrHzbx.jpg,['GB'],2011-03-11,[]
2691,Autoluminescent: Rowland S. Howard,2011,110.0,"Documentary,Music",,"Richard Lowenstein (1959, \N), Lynn-Maree Milburn (\N, \N)","Rowland S. Howard (1959, 2009)",7.9,365,False,,en,"From myth to legend Rowland Howard appeared on the early Melbourne punk scene like a phantom out of Kafkaesque Prague or Bram Stoker’s Dracula. A beautifully gaunt and gothic aristocrat, the unique distinctive fury of his guitar style shot him directly into the imagination of a generation. He was impeccable, the austerity of his artistry embodied in his finely wrought form, his obscure tastes and his intelligently wry wit. He radiated a searing personal integrity that never seemed to tarnish. Despite the trials and tribulations of his career, in an age of makeover and reinvention, Rowland Howard never ‘sold out’. With recent and moving interviews, archival interviews and other fascinating and original footage, AUTOLUMINESCENT traces the life of Rowland S Howard. Capturing moments with the man himself and intimate missives from those who knew him behind closed doors; words and images etch light into what has always been the mysterious dark.",/rrkT2XFLZZe8fO8Xdlcpbl1znGJ.jpg,['AU'],2011-10-27,"['Australian Broadcasting Corporation', 'MIFF Premiere Fund']"
2692,Les Gardiens de la Galaxie,2014,121.0,"Action,Adventure,Comedy",,"James Gunn (1966, \N)",,8.0,1317183,False,/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg,en,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,['US'],2014-07-30,['Marvel Studios']
2693,Father of Lights,2012,99.0,Documentary,"Darren Wilson (\N, \N)","Darren Wilson (\N, \N)",,7.8,546,False,,en,"Through filming incredible spiritual encounters around the world, Darren Wilson cuts through religious misconceptions in an effort to find the true nature and character of God.",/g7kgyRpA5hU8VfxLC0OqG1c1qjl.jpg,[],2012-07-07,[]
2694,Runway,2010,90.0,Drama,"Nasrin Akter (\N, \N), Rabeya Akter Moni (\N, \N), Fazlul Haque (\N, \N), Mehedi Hasan Saju (\N, \N)","Tareque Masud (1956, 2011)",,8.2,1451,False,,bn,A young man who lives nearby an airport finds himself in trouble upon meeting a mysterious stranger.,/wk3yLFXgqtCM2En6mvR8xpbUEMk.jpg,['BD'],2010-12-16,[]
